CityId,City,Latitude,Longitude,TimeZone,Country,Region
42231,Herat,34.333,62.2,+04:30,Afghanistan,Herat
5976,Kabul,34.517,69.183,+04:50,Afghanistan,Kabol
42230,Mazar-e Sharif,36.7,67.1,+4:30,Afghanistan,Balkh
42412,Korce,40.6162,20.7779,+01:00,Albania,Korce
5977,Tirane,41.333,19.833,+01:00,Albania,Tirane
5978,Algiers,36.763,3.051,+01:00,Algeria,Alger
5981,Skikda,36.879,6.907,+01:00,Algeria,Constantine
5980,Oran,35.691,-0.642,+01:00,Algeria,Oran
42211,Ouled Djellal,34.417,5.067,+01:00,Algeria,Biskra
3786,Mascara,35.394,0.14,+01:00,Algeria,Mascara
5979,Annaba,36.9,7.767,+01:00,Algeria,Skikda
4962,Pago Pago,14.27,-170.7,-11:00,American Samoa,Eastern Tutuila
12604,Andorra La Vella,42.5,1.517,+01:00,Andorra,Andorra la Vella
12605,Escaldes,42.5,1.533,+01:00,Andorra,Escaldes-Engordany
42076,Benguela,-12.58,13.408,+01:00,Angola,Benguela
42078,Sumbe,-11.2,13.833,+01:00,Angola,Cuanza Sul
42077,Lubango,-14.917,13.5,+01:00,Angola,Huila
42079,Luanda,-8.838,13.234,+01:00,Angola,Luanda
5982,Luanda,-7.05,14.817,+01:00,Angola,Uige
41936,The Valley,18.217,-63.05,-04:00,Anguilla,Anguilla
12976,Molodesjnaja,0,0,+00:00,Antarctica,Enderby Land
15188,Reading,0,0,+00:00,Antarctica,Enderby Land
14699,McMurdo Station,-77.91,166.65,+00:00,Antarctica,Ross Island
5983,Saint Johns,17.117,-61.85,-04:00,Antigua and Barbuda,Saint John
16724,Falmouth,17.017,-61.783,-04:00,Antigua and Barbuda,Saint Paul
3338,Bahia Blanca,-38.717,-62.283,-03:00,Argentina,Buenos Aires
17032,Berazategui,-34.767,-58.217,-03:00,Argentina,Buenos Aires
13655,Caseros,-34.6,-58.55,-03:00,Argentina,Buenos Aires
13393,Castelar,-34.667,-58.667,-03:00,Argentina,Buenos Aires
12269,Chacabuco,-34.642,-60.474,-03:00,Argentina,Buenos Aires
17465,Ezeiza,-34.85,-58.533,-03:00,Argentina,Buenos Aires
13417,Haedo,-34.633,-58.6,-03:00,Argentina,Buenos Aires
17267,Jose Leon Suarez,-34.533,-58.583,-03:00,Argentina,Buenos Aires
3343,La Plata,-34.931,-57.949,-03:00,Argentina,Buenos Aires
14000,Lomas De Zamora,-34.767,-58.4,-03:00,Argentina,Buenos Aires
13463,Mar del Plata,-38,-57.55,-03:00,Argentina,Buenos Aires
15460,Miramar,-38.267,-57.85,-03:00,Argentina,Buenos Aires
3347,Pinamar,-37.117,-56.833,-03:00,Argentina,Buenos Aires
15560,Ramos Mejia,-34.633,-58.567,-03:00,Argentina,Buenos Aires
15756,Salto,-34.299,-60.242,-03:00,Argentina,Buenos Aires
3349,San Clemente del Tuyú,-36.367,-56.717,-03:00,Argentina,Buenos Aires
15483,San Isidro,-34.45,-58.5,-03:00,Argentina,Buenos Aires
12112,San Martin,-34.567,-58.533,-03:00,Argentina,Buenos Aires
16681,Tres Arroyos,-38.383,-60.283,-03:00,Argentina,Buenos Aires
13255,Turdera,-34.783,-58.4,-03:00,Argentina,Buenos Aires
